build_id,build_nm,photo_path,explain_path,design,build_type,kor_flag,iso_flag,koppen,gfa,structure,re_year,re_cost,wall,roof,window,windowframe,airtight,windowcontrol,awning,n_ventilation,n_lighting,heating,cooling,coolheat,ventilation,lighting,sunlight,solarheat,geothermal,windpower,bio,fuelcell,cogeneration,ess,re_before_energy,re_after_energy,re_energy,re_before_emission,re_after_emission,re_emission,re_before_lcc,re_after_lcc,re_life_cycle_cost
61,충남대학교 실내체육관,img/search_fig/61.png,img/popup/explain 61.jpg,1,7,,410,dwa,3682,1,,,,,,,,,,,,,,,,,,,,,,,,,354208,279832,0.21,150184,118649,0.21,939605,32224373,0.68
62,충남대학교 중앙도서관,img/search_fig/62.png,img/popup/explain 62.jpg,1,7,,410,dwa,21618,1,,,103,,,,,,,,,,,,,,,,,,,,,,727803,465161,0.36,308588,197228,0.36,939605,32224373,0.68
63,수정청소년수련관,img/search_fig/63.png,img/popup/explain 63.jpg,1,9,,410,dwa,7746,1,,,107,,210,,,,,,,,,,,752,,,,,,,,,764569,503490,0.34,324177,213480,0.34,939605,32224373,0.68
64,동작구문화복지센터(보건소),img/search_fig/64.png,img/popup/explain 64.jpg,1,6,,410,dwa,10022,1,,,107,,,,,,,,,,,,,0,,,,,,,,,927035,831826,0.1,393063,352694,0.1,939605,32224373,0.68
65,단양 수련시설,img/search_fig/65.png,img/popup/explain 65.jpg,2,9,,410,dwa,8220,1,2015,3823000000,107,,210,403,"556, 553",,403,,,"556, 553",,606,,"752, 751, 753",,,,,,,,,907508,630488,0.31,384783,267327,0.31,939605,32224373,0.68
66,여수 하희현가 그린리모델링,img/search_fig/66.png,img/popup/explain 66.jpg,2,1,,410,cfa,18184,1,2017,,109,,210,,,,,,,,,,,752,,,,,,,,,4451443,2751239,0.38,1887412,1166525,0.38,939605,32224373,0.68
67,외유내강,img/search_fig/67.png,img/popup/explain 67.jpg,2,1,,410,cfa,205,1,2017,,102,,,,551,,,,,551,,,,752,,,,,,,,,59336,38711,0.35,25158,16413,0.35,939605,32224373,0.68
68,부평 단독주택,img/search_fig/68.png,img/popup/explain 68.jpg,2,1,,410,dwa,146,1,2016,89680000,"103, 102",,203,,553,,,,,553,,,,752,,,,,,,,,109907,38000,0.65,46601,16112,0.65,939605,32224373,0.68
69,경기도 수원시 권선구 단독주택 2층,img/search_fig/69.png,img/popup/explain 69.jpg,2,1,,410,dwa,209,1,2016,7300000,,,210,,,,,,,,651,,,752,,,,,,,,,8560,5747,0.33,3629,2437,0.33,939605,32224373,0.68
70,EAN 테크놀로지 신사옥,img/search_fig/70.png,img/popup/explain 70.jpg,2,11,,410,dwa,2000,1,2017,,109,,210,401,,,401,,,,,606,702,"752, 753",,,,,,,,,238944,149165,0.38,101312,63246,0.38,939605,32224373,0.68
71,부평 단독주택,img/search_fig/71.png,img/popup/explain 71.jpg,2,1,,410,dwa,146,1,2016,,"103, 102",,203,,553,,,,,553,,,,752,,,,,,,,,98053,33332,0.66,41574,14133,0.66,939605,32224373,0.68
72,한서빌딩,img/search_fig/72.png,img/popup/explain 72.jpg,2,11,,410,dwa,2467,1,2017,,,,,,,,,,,,,606,,752,,,,,,,,,362930,173693,0.52,153882,73645,0.52,939605,32224373,0.68
73,피닉스호텔,img/search_fig/73.png,img/popup/explain 73.jpg,2,12,,410,cfa,6858,1,2017,,,,,,,,,,,,,,,752,,,,,,,,,4390921,1639652,0.63,1861751,695212,0.63,939605,32224373,0.68
74,한국외국어대학교 글로벌캠퍼스 인문경상관,img/search_fig/74.png,img/popup/explain 74.jpg,2,7,,410,dwa,6599,1,2017,1100000000,"107, 102",,"203, 210",,,,,,,,,606,,"752, 751",,,,,,,,,2565691,1377211,0.46,1087853,583937,0.46,939605,32224373,0.68
75,경기도 용인시 처인구 단독주택,img/search_fig/75.png,img/popup/explain 75.jpg,2,1,,410,dwa,199,1,2016,35000000,,,210,,,,,,,,,,,752,,,,,,,,,17306,10810,0.38,7338,4583,0.38,939605,32224373,0.68
76,광주 계림동 숙박시설 금수장관광호텔,img/search_fig/76.png,img/popup/explain 76.jpg,2,12,,410,cfa,3163,1,2016,140000000,,,,,,,,,,,,,,752,,,,,,,,,278494,187244,0.33,118081,79391,0.33,939605,32224373,0.68
77,서초동 업무시설,img/search_fig/77.png,img/popup/explain 77.jpg,2,11,,410,dwa,14514,1,2015,495000000,,,210,,,,,,,,,,,752,,,,,,,,,2881029,1991310,0.31,1221556,844315,0.31,939605,32224373,0.68
78,국도화학 공장,img/search_fig/78.png,img/popup/explain 78.jpg,2,11,,410,dwa,4826,1,2016,1717100000,104,,210,,,,,,,,,,,752,,,,,,,,,158775,115705,0.27,67321,49059,0.27,939605,32224373,0.68
79,한국외대 글로벌 캠퍼스 어문학관,img/search_fig/79.png,img/popup/explain 79.jpg,2,7,,410,dwa,13172,1,2015,3000000000,102,,210,,,,,,,,,606,,752,,,,,,,,,4917107,3293000,0.33,2084853,1396232,0.33,939605,32224373,0.68
80,경북 영주 문수면 사무소,img/search_fig/80.png,img/popup/explain 80.jpg,2,11,,410,dfa,892,1,2013,1333000,,,,,,,,,,,,,,752,,,,,,,,,334589,222197,0.34,141866,94212,0.34,939605,32224373,0.68
81,충북대학교 생활관(진리관),img/search_fig/81.png,img/popup/explain 81.jpg,2,7,,410,dwa,2655,1,2013,2350000,"103, 105",,,,,,,,,,,606,,752,,,,,,,,,679680,431703,0.36,288184,183042,0.36,939605,32224373,0.68
82,전북 고창 동리국악당(신재효고택동리국악당),img/search_fig/82.png,img/popup/explain 82.jpg,2,3,,410,dfa,2248,1,2014,2550000,,,,,,,,,,,,,,752,,,,,,,,,832434,604262,0.27,352952,256207,0.27,939605,32224373,0.68
83,충북 청주 시립 미술관,img/search_fig/83.png,img/popup/explain 83.jpg,2,3,,410,dwa,4546,1,2015,3469000,,,,,,,,,,,,,,752,,,,,,,,,1852950,1095586,0.41,785651,464528,0.41,939605,32224373,0.68
84,서울세관 2동 청사,img/search_fig/84.png,img/popup/explain 84.jpg,2,11,,410,dwa,13346,1,2015,2370000,,,,,,,,,,,,,,752,,,,,,,,,4289349,2937747,0.32,1818684,1245605,0.32,939605,32224373,0.68
85,경기도청 제2별관,img/search_fig/85.png,img/popup/explain 85.jpg,2,11,,410,dwa,8120,1,2014,1312181,,,,,,,,,,,,,,752,,,,,,,,,2900464,1880592,0.35,1229797,797371,0.35,939605,32224373,0.68
86,경북 문경시청사,img/search_fig/86.png,img/popup/explain 86.jpg,2,11,,410,dfa,10067,1,2015,3500000,,,,,,,,,,,,,,752,,,,,,,,,3007013,2330511,0.22,1274973,988136,0.22,939605,32224373,0.68
87,한국수자원공사 물사랑어린이집,img/search_fig/87.png,img/popup/explain 87.jpg,2,8,,410,dwa,550,1,2015,350000,,,,,,,,,,,,,,752,,,,,,,,,190190,148005,0.22,80641,62754,0.22,939605,32224373,0.68
88,한국건설기술연구원 (구교통연구원),img/search_fig/88.png,img/popup/explain 88.jpg,2,11,,410,dwa,8145,1,2015,1321000,,,,403,,,403,,,,,,,752,,,,,,,,,2775002,1525559,0.45,1176601,646837,0.45,939605,32224373,0.68
89,전남 무안군 농업기술센터,img/search_fig/89.png,img/popup/explain 89.jpg,2,11,,410,cfa,932,1,2016,1067604,,,,401,,,401,,,,,,,752,,,,,,,,,195254,134674,0.31,82788,57102,0.31,939605,32224373,0.68
90,광주 시립 청소년 삶 디자인센터,img/search_fig/90.png,img/popup/explain 90.jpg,2,6,,410,cfa,8415,1,2015,11300000,,,,401,,,401,,,,,,,752,,,,,,,,,1374170,1077962,0.22,582648,457056,0.22,939605,32224373,0.68
91,제주 서귀포의료원 (산후조리원),img/search_fig/91.png,img/popup/explain 91.jpg,2,6,,410,cfa,3624,1,2015,2826745,,,,403,,,403,,,,,,,752,,,,,,,,,829534,590350,0.29,351722,250308,0.29,939605,32224373,0.68
92,한국도로공사 군위지사,img/search_fig/92.png,img/popup/explain 92.jpg,2,11,,410,dfa,1896,1,2015,2041000,,,210,,,,,,,,,606,,752,,,,,,,,,354742,270749,0.24,150410,114797,0.24,939605,32224373,0.68
93,한국과학기술원 기계공학동,img/search_fig/93.png,img/popup/explain 93.jpg,2,7,,410,dwa,30387,1,2016,10130000,108,,210,,,,,,,,,606,,752,,,,,,,,,12273309,9973013,0.19,5203883,4228558,0.19,939605,32224373,0.68
94,김포국제공항,img/search_fig/94.png,img/popup/explain 94.jpg,2,11,,410,dwa,77775,1,2018,67600000,109,,210,,,,,,,,,606,706,752,802,,902,,,,,,63433290,43196235,0.32,26895715,18315204,0.32,939605,32224373,0.68
95,경기도 따복기숙사(경기도기숙사),img/search_fig/95.png,img/popup/explain 95.jpg,2,2,,410,dwa,5510,1,2017,11980368,109,,0,,,,,,,,,606,,752,,,,,,,,,983535,801154,0.19,417019,339689,0.19,939605,32224373,0.68
96,서울 강동구청 별관(성안별관),img/search_fig/96.png,img/popup/explain 96.jpg,2,11,,410,dwa,4705,1,2017,8912760,109,,210,,,,,,,,,606,702,752,"802, 803",,,,,1051,,,1935637,505788,0.74,820710,214454,0.74,939605,32224373,0.68
97,대구 수성구청 별관,img/search_fig/97.png,img/popup/explain 97.jpg,2,11,,410,cwa,3100,1,2018,1520000,107,,210,,,,,,,,,606,702,752,,,,,,,,,1208690,897140,0.26,512485,380387,0.26,939605,32224373,0.68
98,한국도로공사 홍천지사,img/search_fig/98.png,img/popup/explain 98.jpg,2,11,,410,dfa,1922,1,2017,2019000,103,,210,,,,,,,,,606,702,752,801,,,,,,,,506255,257164,0.49,214652,109037,0.49,939605,32224373,0.68
99,한국방송통신대학교 열린관,img/search_fig/99.png,img/popup/explain 99.jpg,2,7,,410,dwa,5808,1,2018,7475000,102,,210,,,,,,,,,606,702,752,802,,,,,,,,2008406,945542,0.53,851564,400910,0.53,939605,32224373,0.68
100,한국교통대학교 건축관,img/search_fig/100.png,img/popup/explain 100.jpg,2,7,,410,dwa,2666,1,2018,2900000,109,,210,,,,,,,,,606,,752,,,,,,,,,866983,421495,0.51,367601,178714,0.51,939605,32224373,0.68
101,대구시 대명동 상가주택,img/search_fig/101.png,img/popup/explain 101.jpg,2,1,,410,cwa,,1,2006,,103,,203,,,,,,,,,,,752,,,,,,,,,110279,56453,0.49,46758,23936,0.49,939605,32224373,0.68
102,경기도 안양시 ARK,img/search_fig/102.png,img/popup/explain 102.jpg,2,1,,410,dwa,204,1,2016,,103,,,,,,,,,,,606,,752,,,,,,,,,83375,46471,0.44,35351,19704,0.44,939605,32224373,0.68
103,DPR Construction Phoenix Regional Office(NZEB),img/search_fig/103.png,img/popup/explain 103.jpg,2,11,,840,bwh,"1,519",1,2011,2480000,,,,,555,,,,,555,,,,,,,,,,,,,2000,20,0.99,848,8,0.99,939605,32224373,0.68
104,The George D. Aiken Center at the University of Vermont,img/search_fig/104.png,img/popup/explain 104.jpg,2,7,,840,dfb,"3,716",1,2011,,,,,,,,,,,,,,702,,,,,,,,,,281,104,0.63,119,44,0.63,939605,32224373,0.68
105,5Pev,img/search_fig/105.png,img/popup/explain 105.jpg,2,2,,826,cfb,84,1,2014,,,,,,553,,,,,553,,,705,,,,,,,,,,216,67,0.69,41,14,0.66,939605,32224373,0.68
106,A2Dominion- Northholt,img/search_fig/106.png,img/popup/explain 106.jpg,2,2,,826,cfb,80,1,,,,,,,"553, 555",,,,,"553, 555",,,705,,,,,,,,,,98,49,0.5,21,9,0.57,939605,32224373,0.68
